Heap initialized
Top: -911803954
-911803954 extracted
515164253,-74647219,-263994454,-870470569,-235384741 inserted
Top: -937493107
Top: -937493107
224551444,523115097,938343108,-20162467,-267324544,-630903879,-685194475,311166857,-403326560 inserted
812422806 inserted
Top: -937493107
-937493107 extracted
Top: -73443693
-645789516,-506329367,995984027,726654847,-744498976,359532795,-743689748,710478023 inserted
-104634987,-696045974,-103327481,304822450,-200976199,308707207,-148142264 inserted
-422573791 inserted
853018108,207860421,493225190,555415627,762108534 inserted
-73443693 extracted
654413269 extracted
876876281,167497582,-623392694,-133864428,233227735,-195614391,-124100325,980969076,-294456201 inserted
66988773,-658374632,673111088,371107069,345283745,129730047,-655521506 inserted
-804278266,-875620606,240142759,-788030593 inserted
Top: 601201145
-200436319,446826816,-160610394,-466077112,93105103,-199739593,207414786,111441194,-258760317 inserted
Top: 601201145
Top: 601201145
-753845151,-36183969 inserted
576691777,-504111148,-59444756,-589634297,-456866151,-720040841 inserted
-251955637,347812497,889661434,-907812658 inserted
-209767146,85389177 inserted
-184583798,-592772786,-55391510 inserted
970439825 inserted
Top: 601201145
601201145 extracted
621847973,798027599,-384412706,598026287,856777360,827805120,-46270551,854969973,555482553 inserted
406121194,908119363,223933076,375643318,-164478688,-22788150,37012398,-508883979,-589666303 inserted
85996507 extracted
Top: 905451717
877425029,-838374459 inserted
-183864914,-396977322,-724553806,175664169,77793931,396806109,-484403349,12157197,-30658411,-286447973 inserted
301523039,-393568602,-412262785,-32131009,752520029,-16636229,280266242 inserted
-617823792,923764295,-21605952,852472871,-228352916,929067232,-37411953,854793690,78209716,859048270 inserted
-594628767,84756958,197295137 inserted
Top: 905451717
Top: 905451717
982207058,-426028984,-255747112 inserted
25998601 inserted
Top: 905451717
-523005117,-660409058,-870059436,-715160055,693132321,795017447,332834032,8409278 inserted
Top: 905451717
905451717 extracted
-863464926 inserted
705060392 extracted
Top: -123155487
-123155487 extracted
931852990,879873853,285422658,927613717 inserted
414230841,-779163199,-525226745,-384542290 inserted
Top: -673482165
-673482165 extracted
516522466 extracted
440109294,-837436253,-91732961,899561479,-685421141,312570879,-410056328,-912112783 inserted
-714314552 extracted
-865753441,220856580 inserted
-114412962,-164587000,221456273,700035556,23731235,-441530790,-63621308,-822084103 inserted
25254849,321845813,-603258911,172700213,138173574,-598364454,906405809 inserted
975877602,835755477,900008127,493221797,374629713,-619056258,941525943,365532224 inserted
382066491,958043698,919729099,526634509,-569182461,286140235 inserted
549138723 extracted
Top: 305953057
-156988584,-582836474 inserted
570075940,-142249586,706707009,-720918197,576798029,694366981,-572289109 inserted
305953057 extracted
930742314,-607306425,931686951,190906929,-261936447,583015814,-933879680,836860768 inserted
-469136978,80507840 inserted
423876671,-503995011,-268856629,-721559300,824663715,554924624,953906743,-917712530,971334611 inserted
318559565 extracted
906764416,369869918,645523517,-915020255,533941815,98074358 inserted
509505529,53537439,559460251,207156325,17496934,646260341,-63155374,-559852212,-163652308,869467794 inserted
317695575 extracted
-204706061,92829971,732249370,480076072,-319669191 inserted
-774035341 extracted
-472107562,-621931771,555596532,180065086,-752981315,890411156,97851517,783949513,326846427,-581957917 inserted
506906946,-790506991,-658552189,373201410,-666772923 inserted
-309562739,296982852,-126766498,-879476177,682246500,31833988 inserted
-36734489 extracted
Top: -767362912
Top: -767362912
-767362912 extracted
168647470,-521905425,465254400,139540359,-12895424,155586612 inserted
-519871398,617755956,199564566,550953313,-59577045,62199040,736812958,246407770 inserted
-412598428,335120243,113570398,5943921,-146827201 inserted
-53849535,486314454,854592483,906770262,-791081447,-478545726,714529268 inserted
95346744,415640439,-677911262,-581777269,-258562768,-614797487 inserted
245126189 extracted
962843715 extracted
-546648617 extracted
-693052654,-980310766,-90193681,-630948451,-34109547,-830353777,-845737112 inserted
174823687,-642025214,420782412,-947118603,690624843,-64435337,34905995,524293383,-95516892 inserted
-515535472 extracted
Top: 838445048
838445048 extracted
681096225,-285147700,387153528,-644243856,603574273,844912629,631701180,531729469 inserted
307818737,-787681819,-757696410 inserted
-556841907,-976421821,-112478177,-301873875,-876828633,510236816,-759608146 inserted
819846812,-653363714,-94913150 inserted
508612740 extracted
991597188,254509223,-413326924,87131129,-245082704 inserted
Top: -989518703
-336342902,-92706893,-26078975,-823821240 inserted
-783523887 inserted
Top: -989518703
-989518703 extracted
Top: -306641263
-841598023,-571702523,-541994707,-993957815,81943808 inserted
