Heap initialized
Top: -919981653
-919981653 extracted
880050442,-789696668,715569273 inserted
Top: -897042673
Top: -897042673
700334983,581366022,-258276097,697503613 inserted
146023437,472092262,9917994 inserted
Top: -897042673
-897042673 extracted
Top: -895213574
-678387327,966957380,306582352,444568251,-333652405,854596891,801504732,718816292,759607264,-104914538 inserted
-628175629,479477167,576901580,-693923917 inserted
257242517,-599042505,599326566,-363850512,-666347625,-573913214,-186427409,-111106857,184468430 inserted
590353321,-545295817,396109688,-279753498,988873851,348087184,-941808436,180185717,939668674 inserted
-895213574 extracted
-873027738 extracted
898018054,-120143401,856272301,110656701,-462631650,-926655861,-335987115,-174530270 inserted
704907380,-845672626,36632678,-228901493,848673706,503280421 inserted
871419152,826654333,340134789,356941455,225961879 inserted
Top: -854222175,-977402471
281052024,947754696 inserted
Top: -854222175,-977402471
Top: -854222175,-977402471
807865004,807242746,-655195105,-84658381,-157248689,-950970778,228148226,11340900 inserted
-133301103,-846228338 inserted
-196205565,63595652,-618629122,801582976,-142815412,200425906,-457646936 inserted
-467767027,212941707,-573570884,357691823,-45041571,648431019,212446557 inserted
-845584926,608263794,-122022135,-236303631,669528747,-634688441,247347672,549755237,804499020,-676903575 inserted
-479868432,-135525585,960363173,-151537873,718672002,369429700 inserted
Top: -854222175,-977402471
-854222175,-977402471 extracted
561981625,-741165063,-455504334,-249230128,338304413,-936242017,-955152428,269685454,15893550,-937131936 inserted
669039616,-412166983,283406530,693224132,-171214912,184155050,115275403,-772183630,-819991496,-863825545 inserted
-852959495 extracted
Top: -710649561
-681889436,222860360,213091353,237437738,-968202209,530362663,488300707,-36762288 inserted
-820084745,787247721,425263311,-43052358,124866380,620728334 inserted
-976520989,-384067804 inserted
235568030,526975381,-66837082 inserted
-32769353,53119707,-661801138,-595159207,-128106294,-217711860,-414922360,846268613,-623558290 inserted
Top: -710649561
Top: -710649561
3308301,-143985097,-211059609,-80222071,640002234,-71710266,-138382681,-677982748 inserted
435241102 inserted
Top: -710649561
-96878443 inserted
Top: -710649561
-710649561 extracted
162881477,334215380,-683732664,725803577 inserted
-550424971 extracted
Top: -544376061
-544376061 extracted
211521233 inserted
139388570,-526596517,52153233,865735765,-655761555 inserted
Top: -390155880
-390155880 extracted
-976520989,-384067804 extracted
907107437,595565584,761372625,903499161,747392199,329702193,463948932,937041403 inserted
-746248096,-380270128 extracted
-719462510,-387073851,-834125162,356951202,-271550919,-856660775,-998995027 inserted
-581614184,-274283020,-351914009,-907430309,227154665 inserted
