Heap initialized
Top: -687405099,368308386,429856371,-397641248,-850410965,-552339098,-240619645,-346103864,-426231463,-504204725 
-687405099,368308386,429856371,-397641248,-850410965,-552339098,-240619645,-346103864,-426231463,-504204725  extracted
610543911,216650468,27513074,428730029,-739489289  inserted
Top: -716192565,-509335919,-705020541,250085402,-78350299,-370023769,-90484111,-682247640,-72946843 
Top: -716192565,-509335919,-705020541,250085402,-78350299,-370023769,-90484111,-682247640,-72946843 
-797109311,89234172,433861787,838413826,-625858793,-694471804,-276730099,520971543,541853745,-305098101  inserted
504963854,502963199,-512953527,100474389,-975923842,824326790,-718350626,427116375  inserted
Top: -716192565,-509335919,-705020541,250085402,-78350299,-370023769,-90484111,-682247640,-72946843 
-716192565,-509335919,-705020541,250085402,-78350299,-370023769,-90484111,-682247640,-72946843  extracted
Top: -544377601,-836792600,-888567054,-363753413,-207219579,-106954114 
-657265375,250042503,789049782,745791443  inserted
900875718  inserted
766215023,280628210,623226546,-231824457,-49487923,744509265,-94342339,186815365,-509802010  inserted
697279680,139504030,745665152,-498102362,-35878357  inserted
-544377601,-836792600,-888567054,-363753413,-207219579,-106954114  extracted
-440520550,-511588946,-699708743,-633146907,-624945035  extracted
167316299,-608641256,501841377,-944654825,317231700,-738300626,-601157664,-686561790,117648172,-804133931  inserted
516545182,-5495194,616519775,-81771550,926789036,626185571,-199675656  inserted
289536670,244530476,840721568,-537213965  inserted
Top: 167316299,-608641256,501841377,-944654825,317231700,-738300626,-601157664,-686561790,117648172,-804133931 
816744016,208025206  inserted
Top: 167316299,-608641256,501841377,-944654825,317231700,-738300626,-601157664,-686561790,117648172,-804133931 
Top: 167316299,-608641256,501841377,-944654825,317231700,-738300626,-601157664,-686561790,117648172,-804133931 
-490241159,897564950,350341896  inserted
-235060127  inserted
464579373,976364831,-514491726,500662585,972789028,-573091371,-742360658  inserted
-391972353,-666821415,-135187417,-69042909,51219345  inserted
-695536373,450717204,545819972,-677955168  inserted
-11429998  inserted
Top: 167316299,-608641256,501841377,-944654825,317231700,-738300626,-601157664,-686561790,117648172,-804133931 
167316299,-608641256,501841377,-944654825,317231700,-738300626,-601157664,-686561790,117648172,-804133931  extracted
248021051  inserted
-726029929,-933185435,-277657296,123588692,138634545  inserted
-63235922,-646335190,-980782238,149434045,-913847835,-41829366,5946396,326543690,-696608601  extracted
Top: -686029762,-939209056,994704835,-816724944,990051034,-710210660,294776550,-866543672,-897231424 
-418189956,-234399687,210698049,-173642803,952015647  inserted
280281963,14416863,-714472686,-411148463,-954539837,94085166,812468914  inserted
-302593098,-509601393,-172459752,-257555940,-301153175,-743442429  inserted
-310410031,-906883528,601436424,-205134861,661668330,-416618825  inserted
244714954,-675146276,34183452,-840674606,479574126,37775700,-919621178,966730658  inserted
Top: -686029762,-939209056,994704835,-816724944,990051034,-710210660,294776550,-866543672,-897231424 
Top: -686029762,-939209056,994704835,-816724944,990051034,-710210660,294776550,-866543672,-897231424 
-423157445,341934372,655136045,-140010961,15684124,-567878062  inserted
695222926,893723582,-45709481,-18145787,865683463,962277935,760038474  inserted
Top: -686029762,-939209056,994704835,-816724944,990051034,-710210660,294776550,-866543672,-897231424 
-892577651,-229302439,611823737  inserted
Top: -686029762,-939209056,994704835,-816724944,990051034,-710210660,294776550,-866543672,-897231424 
-686029762,-939209056,994704835,-816724944,990051034,-710210660,294776550,-866543672,-897231424  extracted
-244378869,870449268,633732571,104921623,572907486,-544937398,-231871696  inserted
-529888491,-853545538,-894805377,-51026208,-219308045  extracted
Top: -161137181,-523838275,-92487509,-317906135,-409606202,-423151371,-397076901,-410357623,317417830 
-161137181,-523838275,-92487509,-317906135,-409606202,-423151371,-397076901,-410357623,317417830  extracted
-161774756,-302880608,-744774795,947609292  inserted
-453077892,591788165  inserted
Top: -48545777,-727207070,-547153795,216964592,-225219438,627924424,-576556931,317021776,-705328217,-681544006 
-48545777,-727207070,-547153795,216964592,-225219438,627924424,-576556931,317021776,-705328217,-681544006  extracted
-645753226,197068819,-94601865,55268141,-769232943,-663969035,-616804873,212482414  extracted
-343543852,-559579802,616432097,-377322191,404714251  inserted
-846998190,-234659305,41562383,307976302,25575887,-658133912,-4536894,-247787079,-589965609,-105297517  extracted
-446463531,483234497,-203597178,119810591,-500470145,-568611755,579783124,-815800474,80617267,13330497  inserted
-967507133,409709839  inserted
711795075,-654535026,-473497875,920380499  inserted
755519901,-59167850,484443777  inserted
-176230866,85704851,372072212,-569331609,-948038958,83105871,-167934960,32309603  inserted
-302593098,-509601393,-172459752,-257555940,-301153175,-743442429  extracted
Top: -57374786,-648991225,-907578710,198986016,50377518,-889272898 
350186389,-781210604,3604619,715627506  inserted
561792079,767970152,893388548,56510794,312616090,912761343  inserted
-57374786,-648991225,-907578710,198986016,50377518,-889272898  extracted
-891394526,175364505,-632208908  inserted
941534831,-344298764,-201923122,11490324,-764764634,185987504  inserted
35384566,-664440287,24804360,-759685587,-665053249,318730357,-92235572,-24122378,622933395,783533562  inserted
854246218,-375436637,-422606304,-953232466,-769691760,-544566133  extracted
-94844723,-256128965,-853426657,715340246,-976382893,-696298501,-794225691,-435846675  inserted
661373474,559273472,-110008468,501342203,312444583,781986454,-231136084,-838668467  inserted
-94844723,-256128965,-853426657,715340246,-976382893,-696298501,-794225691,-435846675  extracted
-174832700,-178380078,-25788286,-318437777,-785550627  inserted
-360053539,-972635565,110039687,52090251,707096842,-805338832,-819257242  extracted
881568924,-17687964,535461093,-855717988,110888951,-595252759  inserted
-226919938,-347326381  inserted
722725766,-198706780,488745419,458869181,-366322058,104674750  inserted
-337592116,-569441534,-975917979,229507245,-245870652,-166824550  extracted
Top: -844163323,-638235695,-33042874,-946583622,517359662,-184444673,-327506624,738860786,-283227377 
Top: -844163323,-638235695,-33042874,-946583622,517359662,-184444673,-327506624,738860786,-283227377 
-844163323,-638235695,-33042874,-946583622,517359662,-184444673,-327506624,738860786,-283227377  extracted
-770212446,-361216999,-646306728,579293699,854827496,846452716,239936032  inserted
984706766,405874383,-247499171,577579945  inserted
895896246,-996183317,383409400,-751110746,532856299,-478206481,-514482711,-576780283  inserted
586327355,128578276,-349104692,-847143835,-831221790,899044726,421050039  inserted
-659705723,-522855921,-655975297,593655570,-870307125,619823788,-329979805  inserted
-577712590,-836468770,-65907958,-523070160,-14940019,-665958311,703451379  extracted
-827679528,-678650287,-927335647,943847226,-848279739,-116624167,442115171,-949208813,997694575  extracted
-173344967,-674380524,223035601,-357994863,8512003,-903649676  extracted
558922538,-199074593,-331022339,-508216963,-799519054  inserted
-912450531,-206340915,791661617,91751775,-712296771,-456251514,643398959,155897640,-112840075  inserted
-877931917,-335845285,411745452,-366360703,429813842,-919937708,-188347766  extracted
Top: -155123894,-889348797,-532670669,427805179,-820757392,-76313140,-93407422,228063471,77758848 
-155123894,-889348797,-532670669,427805179,-820757392,-76313140,-93407422,228063471,77758848  extracted
269096374,1173197,944913790,-243676897,363806508,-763423654,316198694,168386870,35124976  inserted
-105590835,-805052514,194629595,-92992399  inserted
-961547430  inserted
-91924806,-593221614,289272275,69746278,499949370,-604823494,-236503387,-495414119,781196973,936599727  inserted
-659705723,-522855921,-655975297,593655570,-870307125,619823788,-329979805  extracted
-151624409,-902307515,18734511,881624951,453105647,-552320651,434128144,214547720,389998055  inserted
Top: 77687576,-50749850,-764202897,-441382897,-366813487,-468208494,193453797 
-405870903,475540798,-267139506,-913056516,-104125008,223651348,558701326  inserted
-302134605,626749795  inserted
Top: 77687576,-50749850,-764202897,-441382897,-366813487,-468208494,193453797 
77687576,-50749850,-764202897,-441382897,-366813487,-468208494,193453797  extracted
Top: 124945885,-487509839,-140603619,119644949,-763188836,-672521622 
-600421589,293573191,-523762741  inserted
-57406347,330039660,-808202704,-416192750,840867560,-10058579,-569758930,-143274567,873077733,152697942  inserted
Top: 124945885,-487509839,-140603619,119644949,-763188836,-672521622 
-136263886,843705649,-924371683,832862069,-109404124  inserted
860051413,276846102,-932358563,-725570032,-673794398,-722477417,-506821302,-650303119  inserted
835784248,-180000526  inserted
Top: 860051413,276846102,-932358563,-725570032,-673794398,-722477417,-506821302,-650303119 
-898092895,-275660589,807483890,916254758,-249706604,98066987,-157779834,-291608551,-225677286  inserted
-725176406,977472617,414790192,-143945663,-604055670,-438526830  inserted
-24371711  inserted
-24933414,330635536,232403160,-558806810,145583093  inserted
Top: 860051413,276846102,-932358563,-725570032,-673794398,-722477417,-506821302,-650303119 
860051413,276846102,-932358563,-725570032,-673794398,-722477417,-506821302,-650303119  extracted
124945885,-487509839,-140603619,119644949,-763188836,-672521622  extracted
-91906080,261740491,-158931193,-261701661  inserted
-381950757,-502683206,-79062516,-99237038,-743927330,78363238  extracted
448050683,69869859,283490477,756089003,-718631334,67093591,12980208,3904754  inserted
529675879,-980562164,719966732,63703846,-477477410,-64405416,-776347557,577920530  inserted
-356032082,-257699150,52867562,-151516491,-64084885,-710166067,-536774134,441771235,234030083  inserted
22951095,-968354259  inserted
Top: 604734171,-645496246,-919609186,-565378131,-158343874 
-39092926,153982076  inserted
Top: 604734171,-645496246,-919609186,-565378131,-158343874 
