Heap initialized
Top: 994695846
994695846 extracted
70993606 inserted
Top: 984692719
Top: 984692719
-678998668 inserted
-796464809 inserted
Top: 984692719
984692719 extracted
Top: 979677406
-670049756 inserted
323547423 inserted
-198949287 inserted
549011764 inserted
979677406 extracted
967574935 extracted
436740266 inserted
268993923 inserted
976412794 inserted
Top: 976412794
-350566822 inserted
Top: 976412794
Top: 976412794
27213960 inserted
-196002366 inserted
-662306545 inserted
-116843879 inserted
353236377 inserted
-223407958 inserted
Top: 976412794
976412794 extracted
914247473 inserted
662604888 inserted
963915596 extracted
Top: 961178821
-366991678 inserted
-850304788 inserted
772426956 inserted
-944366190 inserted
614199548 inserted
Top: 961178821
Top: 961178821
-273193360 inserted
-647441025 inserted
Top: 961178821
-838247304 inserted
Top: 961178821
961178821 extracted
781228519 inserted
950221304 extracted
Top: 928787983
928787983 extracted
135781453 inserted
372020928 inserted
Top: 919641210
919641210 extracted
919369420 extracted
-542907269 inserted
914247473 extracted
-453196780 inserted
-493234451 inserted
740382104 inserted
86152672 inserted
670825318 inserted
910998811 extracted
Top: 900634429
-531232026 inserted
286848572 inserted
900634429 extracted
-873511727 inserted
778163273 inserted
-591440354 inserted
893904396 extracted
359933885 inserted
653689096 inserted
890564833 extracted
-977253876 inserted
885204900 extracted
-507654878 inserted
-619625334 inserted
-868565457 inserted
883004177 extracted
Top: 878776792
Top: 878776792
878776792 extracted
378027115 inserted
-568271367 inserted
133643076 inserted
641713434 inserted
-906022387 inserted
878168070 extracted
876590243 extracted
869995639 extracted
31348516 inserted
513468173 inserted
862509334 extracted
Top: 858863227
858863227 extracted
-419609808 inserted
-744396241 inserted
-238110848 inserted
525414066 inserted
856564804 extracted
-811402082 inserted
Top: 852051889
-159455196 inserted
838865249 inserted
Top: 852051889
852051889 extracted
Top: 847714618
920617915 inserted
-974959166 inserted
Top: 920617915
112170348 inserted
-327756074 inserted
-45271060 inserted
Top: 920617915
112988243 inserted
722306905 inserted
-559786270 inserted
64607614 inserted
Top: 920617915
920617915 extracted
847714618 extracted
790332557 inserted
842391037 extracted
474375366 inserted
-871309599 inserted
30904023 inserted
-560696766 inserted
Top: 841833254
226426346 inserted
Top: 841833254
Top: 841833254
841833254 extracted
Top: 838865249
838865249 extracted
678386870 inserted
Top: 820083462
576721577 inserted
Top: 820083462
294576567 inserted
-365653742 inserted
820083462 extracted
-319377139 inserted
Top: 818822035
-836338498 inserted
Top: 818822035
818822035 extracted
798094697 extracted
792044524 extracted
829708525 inserted
-822486586 inserted
21434637 inserted
Top: 829708525
Top: 829708525
-822851283 inserted
-323530169 inserted
829708525 extracted
790332557 extracted
280183656 inserted
793348060 inserted
793348060 extracted
Top: 783122058
856322807 inserted
-601761470 inserted
-249882138 inserted
Top: 856322807
506789494 inserted
856322807 extracted
934165554 inserted
-710624829 inserted
354584528 inserted
Top: 934165554
555096069 inserted
-193290855 inserted
-691472464 inserted
-172844706 inserted
934165554 extracted
Top: 783122058
783122058 extracted
678952812 inserted
-511127095 inserted
-830654750 inserted
781228519 extracted
-930221962 inserted
644145117 inserted
780861164 extracted
778163273 extracted
772845607 extracted
701846336 inserted
Top: 772426956
772426956 extracted
690595352 inserted
Top: 772206731
772206731 extracted
-553322914 inserted
Top: 762247495
480858007 inserted
319209045 inserted
Top: 762247495
913478192 inserted
559423959 inserted
-750387893 inserted
-58439258 inserted
705866936 inserted
913478192 extracted
-802149952 inserted
762247495 extracted
787466851 inserted
Top: 787466851
Top: 787466851
883899200 inserted
Top: 883899200
883899200 extracted
587849625 inserted
434713998 inserted
Top: 787466851
-548529433 inserted
754451291 inserted
Top: 787466851
-695804865 inserted
Top: 787466851
Top: 787466851
441767614 inserted
787466851 extracted
651509519 inserted
-477282543 inserted
Top: 757553730
104602427 inserted
Top: 757553730
Top: 757553730
-403902251 inserted
Top: 757553730
-438195880 inserted
757553730 extracted
Top: 754451291
754451291 extracted
160412454 inserted
-699709156 inserted
812025576 inserted
-50246224 inserted
-95862541 inserted
812025576 extracted
Top: 740382104
-831415420 inserted
Top: 740382104
Top: 740382104
-134750540 inserted
740382104 extracted
408045737 inserted
736286892 inserted
-932982032 inserted
Top: 736286892
-310272228 inserted
Top: 736286892
Top: 736286892
736286892 extracted
-18648069 inserted
966985733 inserted
749280685 inserted
-654250240 inserted
Top: 966985733
Top: 966985733
-834876962 inserted
Top: 966985733
966985733 extracted
366744237 inserted
749280685 extracted
473278841 inserted
Top: 729087496
-987356063 inserted
Top: 729087496
729087496 extracted
-804696030 inserted
727236013 extracted
726372891 extracted
974886938 inserted
974886938 extracted
Top: 724571100
929798528 inserted
929798528 extracted
-374419715 inserted
318112044 inserted
47041528 inserted
-481571557 inserted
Top: 724571100
724571100 extracted
75555879 inserted
633720401 inserted
-588727342 inserted
66775198 inserted
-542122305 inserted
722306905 extracted
712695353 extracted
-976236695 inserted
Top: 705866936
705866936 extracted
705682055 extracted
Top: 702276167
702276167 extracted
439923694 inserted
701846336 extracted
Top: 698726007
698726007 extracted
338398191 inserted
690595352 extracted
Top: 682470120
Top: 682470120
943978670 inserted
896763713 inserted
943978670 extracted
-636064416 inserted
445242516 inserted
896763713 extracted
694555678 inserted
694555678 extracted
682470120 extracted
662509012 inserted
-804447707 inserted
-697940736 inserted
Top: 681650235
713916287 inserted
330225611 inserted
-862250105 inserted
713916287 extracted
173733026 inserted
Top: 681650235
Top: 681650235
893596928 inserted
-255064141 inserted
Top: 893596928
893596928 extracted
Top: 681650235
Top: 681650235
-107172103 inserted
Top: 681650235
203878006 inserted
681650235 extracted
Top: 678952812
745328303 inserted
Top: 745328303
745328303 extracted
-800953605 inserted
678952812 extracted
Top: 678791257
-377752394 inserted
678791257 extracted
678386870 extracted
-392719669 inserted
-760592581 inserted
676742836 extracted
5976928 inserted
Top: 673831701
-732892163 inserted
-112002116 inserted
-25305607 inserted
176402426 inserted
673831701 extracted
408511617 inserted
-359425225 inserted
-747315322 inserted
672658695 extracted
521723295 inserted
670825318 extracted
964332526 inserted
-194579607 inserted
-952361539 inserted
964332526 extracted
