Heap initialized
Top: z
z extracted
hsttbamimb inserted
Top: s
Top: s
uh inserted
ja inserted
Top: s
s extracted
Top: n
sesbysb inserted
oxyyeyci inserted
hhouxnsmwr inserted
emigtmggq inserted
n extracted
m extracted
kpuqim inserted
tt inserted
ft inserted
Top: r
slsnvzja inserted
Top: r
Top: r
jfbtewcc inserted
oahxch inserted
rgaatuce inserted
jidntruh inserted
bpoi inserted
pmlhzybd inserted
Top: r
r extracted
mkqxynhnq inserted
br inserted
a extracted
Top: u
sfr inserted
ejoqpganq inserted
xcqcs inserted
eitxsji inserted
ynr inserted
Top: u
Top: u
q inserted
ahrafycn inserted
Top: u
rq inserted
Top: u
u extracted
bmyzemif inserted
y extracted
Top: q
q extracted
fkf inserted
mldomzgs inserted
Top: n
n extracted
m extracted
hc inserted
c extracted
yhmdtr inserted
wseq inserted
zyeilksmg inserted
kupo inserted
oxuqdnhf inserted
k extracted
Top: z
pyhjj inserted
orbflmbsul inserted
z extracted
wd inserted
r inserted
s inserted
b extracted
k inserted
jsoecemrs inserted
i extracted
jyscduxu inserted
m extracted
fkhakm inserted
mgryzezl inserted
pgkxxvzksl inserted
v extracted
Top: d
Top: d
d extracted
qtnis inserted
mapdzwvqb inserted
js inserted
ovjnlxyr inserted
dsbn inserted
i extracted
g extracted
t extracted
ygrlqa inserted
kygx inserted
r extracted
Top: n
n extracted
yunq inserted
dwg inserted
do inserted
kveq inserted
q extracted
sfrkeykwd inserted
Top: r
vot inserted
qnxtsxgg inserted
Top: r
r extracted
Top: s
dsehsv inserted
urlhqqdv inserted
Top: s
afybecio inserted
uyrljkvc inserted
rtap inserted
Top: s
lribucw inserted
lbvqkjgv inserted
fgvzralu inserted
tfy inserted
Top: s
s extracted
k extracted
haaua inserted
ke extracted
udu inserted
exmplaxf inserted
zpwstewlnh inserted
auv inserted
Top: xo
edlhqfx inserted
Top: xo
Top: xo
xo extracted
Top: ej
ej extracted
hmluscryl inserted
Top: fh
csdh inserted
Top: fh
wkpfzkmbo inserted
gbpdmtbn inserted
fh extracted
k inserted
Top: k
rqxyviuqu inserted
Top: k
k extracted
in extracted
bq extracted
vm inserted
gxfo inserted
jc inserted
Top: sc
Top: sc
hwndnzdnw inserted
hj inserted
sc extracted
kn extracted
dvoc inserted
hvuwbn inserted
kz extracted
Top: ze
ybat inserted
zsm inserted
vyvdiwj inserted
Top: ze
yvohikhit inserted
ze extracted
pxhx inserted
zicjwa inserted
vczvp inserted
Top: em
z inserted
yb inserted
mynmbznep inserted
igvxwm inserted
z extracted
Top: em
em extracted
bamwmvwjg inserted
vngbqjzdaq inserted
xxmrr inserted
yw extracted
rwgrmho inserted
sefiacnh inserted
dl extracted
kn extracted
tv extracted
nhwylkh inserted
Top: gq
gq extracted
wppaxvodo inserted
Top: nr
nr extracted
rwmn inserted
Top: ft
xacnzhesxj inserted
t inserted
Top: t
thixetckp inserted
phjetrejau inserted
ontosmfg inserted
hkmutuhdnw inserted
zcczqxo inserted
t extracted
mkfneuu inserted
ft extracted
dwvx inserted
Top: zv
Top: zv
z inserted
Top: z
z extracted
lz inserted
rzv inserted
Top: zv
nimxs inserted
tbwe inserted
Top: zv
ifwlcwfnij inserted
Top: zv
Top: zv
skxcw inserted
zv extracted
cywfvilu inserted
cpcypaa inserted
Top: mn
epx inserted
Top: mn
Top: mn
kw inserted
Top: mn
p inserted
p extracted
Top: mn
mn extracted
rsl inserted
vj inserted
cf inserted
gbbvbxuwb inserted
ovrh inserted
db extracted
Top: wn
vjkbgjfz inserted
Top: wn
Top: wn
k inserted
k extracted
jfumy inserted
cfdaopjpue inserted
sc inserted
Top: wn
iqtadxqrn inserted
Top: wn
Top: wn
wn extracted
oakbc inserted
e inserted
htwjhsvw inserted
j inserted
Top: e
Top: e
f inserted
Top: e
e extracted
k inserted
j extracted
aovsyvrgzx inserted
Top: f
nruzvqv inserted
Top: f
f extracted
clsvypk inserted
k extracted
uh extracted
fttnzg inserted
ja extracted
Top: tt
lokfex inserted
tt extracted
bkhtygb inserted
gilqjc inserted
f inserted
gej inserted
Top: f
f extracted
kccfvzluq inserted
infccdt inserted
malbzago inserted
bafkqh inserted
teiz inserted
ft extracted
br extracted
r inserted
Top: r
r extracted
rq extracted
Top: hc
hc extracted
xz inserted
wd extracted
Top: js
js extracted
qr inserted
do extracted
Top: vm
Top: vm
vbnecvmrm inserted
pqt inserted
vm extracted
tfe inserted
udbhpmfkj inserted
jc extracted
qayei inserted
hj extracted
yb extracted
dbttlvmwb inserted
iaedavefa inserted
ep inserted
Top: lz
rzlzxeenfg inserted
fgvq inserted
frsgbb inserted
lz extracted
edcoripfx inserted
Top: kw
Top: kw
ot inserted
npbsgvo inserted
Top: kw
kw extracted
Top: vj
Top: vj
nbfginme inserted
Top: vj
zuqkrlnjhg inserted
vj extracted
Top: cf
nj inserted
Top: cf
cf extracted
wt inserted
sc extracted
Top: xz
v inserted
v extracted
xz extracted
ywvrw inserted
ymcjgy inserted
qr extracted
wyeurkk inserted
Top: ep
h inserted
evksuvyfrf inserted
vrgj inserted
wzbaywir inserted
h extracted
jeh inserted
